comment_id,comment
103,"I used to play an online games called COC and there is a global chatting platform where you can find people around the world and bd as well. SO, MY POINT IS ABOUT MY COUNTRYMEN's communication manner. I'm not questioning about the chatting skill of yours but you moron let them call us as a ""living parasites"". Do you know how much pain to read it on screen?? I think Tasheen vai kicked your ass full size 🏐👟 I encourage you to do such work like this. We used to say a common proverb in bengali and that is : "" কুত্তার লেনজায় ১২মণ ঘি মালিশ করলে যেমন (সোজা করার সদিচ্ছা ব্যতিত) কোনো পরিবর্তন আসে, আমার বাঙালি জাতটাও ওইরকম পর্যায়ে"""
104,you ar eat anything 😂😂😂nice to meting you..oh amer allah ata ke chelo??
105,Ai priya k niye akta roast dekte chai
106,I like the personal question
107,Bhai ami apnake love kri but emon kiso koirenna ja bisse Bangladesh er man jay..
108,"ওকে সেফুদার কাছে পাঠিয়ে দিন।
Duck that ducking host......oh mistake.......xd"
109,lmao
110,Awesome bro...
111,Host re keu shapin er kase english coaching e patha
112,"তাহসান ভাই,আপনার শেষের কথাগুলো অনেক ভাল লাগল।"
113,ভাই বাংগালি বলে কথা
114,গুড জব।সিস্টেম হ্যাং করে দিছে😁😁😁😁
115,Era kotteke ase
116,"She did a great job by asking these kinds of question. 
Sophia wants go out from the world. 😩"
117,"দেশের যেই বাজে অবস্থা, আমিতো খুব ভয়ে ছিলাম, কবে জানি রোবট সুফিয়াকেও ধর্ষণ করে দেয়"
118,আমি তোমার ভিডিও সব সময় দেখি কিন্তু তোমার সাথে কথা বলতে যেদিন পারি সেদিন তোমার চ্যানেল সাবস্ক্রাইব করব
119,গ্রামারের মায়েরে বাপ করে দিছে🤣🤣🤣
120,ইংরেজিকে পুরা ধর্ষণ করে দিল।।🤣🤣🤣
121,Bangali paruk r na paruk system hang koira dite pare🤣🤣
122,"এই ভিডিও টা খুবি গুরুত্বপূর্ণ বিষয় ছিল.
আর মজা পাইলাম  বস"
123,🤣🤣🤣🤣🤣🤣🤣🤣🤣
124,Sophia ke hang korte paratai amader prapti.. I think do you eat something it's a good question...cz  it become confused Sophia.
125,Robot ta ra maira falailo
126,Ulta palta vabuy english bolar akta karon asa apni dorta paran nai
127,"good vae ,main main point gulo tule dhorar jonno"
128,"Tahseen bhai, apnar ei look ta sheraa!!  ❤"
129,"রোস্টটা একটু কড়া ছিলো🤣🤣🤣
সত্যি বলতে অসাধারণ!!!!!!"
130,RIP english omg
131,😆😆😆
132,vaiya..ai question gula tik ace...karon ar maje proman hoy je jontro manob a sob sombob na
133,Hello Tahseen bhai ami apnar fan.
134,Vai apnaki host hoiban.
135,😂😂😂😂😂😂😂😂
136,roboter vasa bujar dokhottar test nisilo
137,"Bhai , ki question kore ei pagol meyera......... kon school-e porto ei pagol meyera ?"
138,Vhai atto pothaita pra kao ra kao jantam na..video ta sunbo ki hasta hasta patt batha koriya dan apni...sotti vhaiya apnr onk bro vogto hoya gasi😍
139,Bhai apur english shonar portheke amr English grammar puraiya laiasi. English amder desher joggo na.
140,I like  u man
141,🤣🤣🤣🤣🤣😁😁😁😁😁😁😁😁🤣🤣🤣🤣
142,আগুন কই?!🙄
143,🙏👌👌👌🙏
144,Very nice video 👌👍👌👍😊
145,comilla is bast.....💓💞💞
146,Robot hang hoia gese
147,হোস্ট এর প্রশ্ন শুনে তো আমিই হ্যাং হয়ে গেছি। সোফিয়া যদি হোস্টকে একটা থাপ্পর মারত তাহলে মনে হয় ঠিক করে প্রশ্ন করত।
148,11:41
149,I like this
150,Boss Salut😍😍
151,হ্যাংরে হ্যাং
152,"Do you eat something ???

Sophia : Dora cake"
153,কেউ থাকে এমন Host খুজে পায় ??? এমন Host কে তো Nobel prize দেওয়া  দরকার
154,😂😂😂😂😂😂😂😂😂😂 bhai ami hashte hashte kotha bolte parteci na😂😂😂😂😂😂😂
155,You are right tahsan....👍👍👏👏👏... ওদের চেয়ে ভালো হস্টিং মনে হয় আমি করতে পারব আর সোফিয়াকে যা ইংলিস শোনাইলো বাপরে।। ওর থেকে ক্লাস ১০ এর স্টুডেন্ট ভালো ইংলিশ পারে।
156,Gd roasting
157,কেউ আমারে মাইরালা রোবট রে personal question করে where is ur hair? ?!!! 😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😌
158,Sheii 🤣🤣
159,😁😁😁😁😁
160,Sofiar hosting dekhe lojja pelam vai 😐😐😐
161,"Tumi manushke rust koro,,tumr ki kaiya kunu kaz nai"
162,jamuna tv I am very dissepoi ted
163,I hope ei host r somaje mukh dekheite partese nah.🤣😂.kan helal er bou kothakar
164,Hahahahahaha
165,Ya Allah 😑
166,"ভাই কোথায় ছিলেন এতদিন.
গত ৩/৪ দিন শুধুই আপনার ভিডিও দেখছি.
You are awesome 
So nice 
Roasting 
ফাটাফাটি ...
এই ভিডিও দেখে 
হাসতে হাসতে চোখে পানি চলে আসছে......"
167,মজা পাইলাম বস 😃😃😄
168,Nice bro
169,Hahahahahah... Vaiya... Awesome. . Reallyyy
170,Robot er system hang hoia gece ei meyeter question soina
171,Nice
172,Right
173,"Hi hi hi,, প্রশ্ন শুনে আমিও ঠাশ করে পড়ে গেছি,,"
174,I want to know the name of the host 😂😂😂
175,"bro oi maya der caya amr vai ja class 7 a pory,oo better English bolty pary.."
176,Congratulations for 800k
177,haste haste sesh...thanks for the video
178,System kharap banay dise oi mohila 😃😂😂
179,Vaiya apnar kotha guli onk valo lage.
180,Haha 😀 tasanation
181,bangladeshis r fond of beauty not brain.......they have beauty not brains.....the most famous example is miss world Bangladesh 🤣🤣🤣.......they think beauty is every thing🤣🤣🤣🤣
182,Wowww......ai roast ta dekhe ami apnar aro boro fan hoe gelam..........Apnr kotha gulo theke shobar kisu shekha uchit
183,vaiya apanr kotha gura sei
184,If robots take over this world they are going to kill us 1st.
185,Boss you are সেরা
186,amra lunchito lojjito r ki ase jibone as a bengali Allah amra bangalider hedayet den
187,vai haste haste obosta shes.  tahseen vai 😍
188,My Boss
189,মজা পাইলাম। ভাই তাদেরকে দেওয়া আপনার ভেটকি গুলাও মজা লাগছে।
190,I think after listening her English the Britain will attack Bangladesh ... 😂
191,"বাংলাদেশের কিছু ব্লগারদের নিয়ে রোস্ট করুন ভাইয়া প্লিজ!বিশেষ করে তাদের যারা ঘরের সব খবর ইউটিউবে ছাড়ে
Family and friends এই চ্যানেলে অহরহ রে ভাই"
192,😃😃😃😃😃😃😅😅😅😅😅😂😂😂😂😂😂😂😂😀😁😁😁😀😀😀
193,I wanna kill the hosts. Thanks brother. Your roasts are very spicy😁 for our Bengalis
194,"That robot is shook, shook shook shook. It look so confused and probably wanna commit suicide. The host made me lose my mind."
195,নুসরাত রাফি সম্পর্কে ভিডিও বানান
196,Love you brother....
197,Background sound gula just awesome BrO
198,Love u vai
199,Sobaike diye sob kaj hy na ei gula host neyar aga chinta kora uchit.iccha hoilo ar niye nilam taholei toh hoilo na.
200,This video is too painful to watch
201,বদ্দা রে বদ্দা📢📢📢📢📢
202,হেতি মনে হয় কুমিল্লায় ঘন ঘন প্রসাব(হেসাব/মূত্র) করতো!!এডার লাই আনলিমিটেড ☺
203,Allah tare kothin sasti desbe
204,TahseeNation এমন করো না আমি কিন্তু তোমার প্রেমে পড়ে যাচ্ছি।
205,Hahaha....joss bro love u
206,এইসব মাইয়ারাই (সোফিয়া হোস্ট) স্কুল কলেজে ছেকা খায়া বলে সব ছেলে একই রকম।
207,সোফিয়া Hang হয়ে গেয়ে
208,have you hear on......???😂😂😂
209,হা হা হা হা সুফিয়া হেং
210,bhai best😂😂🤣🤣
211,"ভাই, আপনি একটা রোবট কেউ ছাড়লেন না...হাহাহা"
212,"Vai
ঠিক kota bolsan"
213,অনেক মজা পাইলাম তাসিন ভাই।
214,Vaiya apni hashayte hashayte kadaylen 😂😂
215,পাগল চোদা মহিলা ইংরেজি মারতে আসছে।।।সুফিয়া যদি কসে একটা থাপ্পড় মারত।।
216,Vai re..thank you..khub haslam..comment pore
217,"sophia is kinda texting a girl in Facebook .... you texted thousands times, SEEN, But no fucking response...!! Don't blame sophia... Bangladeshe esei meyeder attitude sikhe feleche"
218,"সেই মজা পাইলাম ভাইয়া,,,keep it up"
219,Hahahaha hahahaha hahahaha system hang hahahaha hahahaha😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
220,অনেক সুন্দার ভাবে কথা বলেন আপনি
221,"এবার দাদা একটু ঝাল নয় এবার হলো একটু বেশিই ঝাল।
😍😘💘❤💓💕💖💗💌🖤❣💟💞💝"
222,ai Hosts gula mne hoi gaja kheye kotha bole...............ajib.
223,Hashte hashte peth betha hoye giyeche😂😂😂
224,Always love you dear brother
225,Vai menon k nia  kisu bolen
226,Ami Valo hosting kortam 😅😋😋😎😎
227,Do you eat something 😂😂😂😂😂😂😂Sofia:ho Kay Tora akon kayta zana koytase😡
228,"কেউ আমারে মাইরালা
রোবট রে personal question করে where is ur hair? ?!!! 😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😌"
229,😂😂😂😂😂😂
230,😂😂😂😂😂😂😵😵😵😵😵😵
231,Eida aamare kon desh pathailo.
232,Robot ra chips khai.
233,এদের পাছায় কষে মারা দরকার।
234,"কোথা থেকে যে আনে এগুলারে,,,"
235,"Hair, where?😂😂"
236,vai apnr hasi ta jossss....
237,Tai Bangladeshe phn etooo hang khai 😂😂😂
238,Aigula hassokor 😂😂😂😂.....
239,Hang kore dise
240,eisob host der bortomane English medium e class  korano uchit...😂😂😂
241,kon pagol aita
242,স্যালুট বস
243,ha ha
244,You are boss no.2
245,I love you and waiting for next video.....
246,Amar matha Already koykbar hang hoise host er question shune. Aktanta live dekhle monehoi ami ar jibito thaktam na. Allah amake bachaw.
247,"vai tome ja pochaite paro,,ja bas dau...osadaron porai osadaron.pochanite vai tomei best"
248,system hung hoia gache.....ha ha ha.vai osadaroi
249,dabra host...
250,bhai this english hosted lady made sophia roasted.....................er chaite national jokes ar hoy na.........kintu mojar bepar dekhen bhai job erai desreve kore.......
251,"hi
sir
I'm your big fan"
252,"অবশেষে জাতি,বুঝতে পারলো অাপনার রোস্টিং সাকসেসফুল 😍এগিয়ে যান ভাইয়া, পাশে অাছি ☺"
253,"Boss apnr roasting sei lage 
Carry on boss"
254,😂😂😂😂
255,এসব দেখলে নিজেদের খুব ছোট মনে  হয়। আপনাকে ধন্যবাদ এগুলো ভালোভাবে দেখানোর জন্য।
256,লল
257,Roast aktu basi zhal
258,সে আবার একজন এডভোকেট ও। পেয়া জান্নাতুল।
259,Hahaha 😁
260,Congratulations tahsin vai 700k hoia gesa
261,Via apni ato sundor kore kmne banan video.. I love u n ur videos
262,Boss public
263,00.00 to 00.21 porjonto shob mathar upor dia gelo🐸
264,Jokhon pochan...kotha bolte icche kore
265,"Haha. Bro, You are the best.."
266,Shopia.exe has stopped working
267,Asolei hang hoe gace...😂😂😂😂
268,ইনি যমুনা টিভির সো করে ন কি খাইছে
269,"""Do you eat something""
Hahaha
😂😂😂😂"
270,BosS yoU R reAlly great....
271,হা হা রিয়েক্ট নাই ক্যান ইউটিউব এ😜
272,love u
273,YOUR ARE THE POLICE OF YOUTUBE... LOVE YOU BRO
274,A BEST ONE.......
275,"Robot er ""practical viva""👏👏👌😂"
276,"Boss Tumi ekta Jinish 
Best of luck boss"
277,Cringe a moreee jabaa
278,Do you eat something mean electric  charge or oil. It is not dumb question.
279,Prank king ar sabbir ornob ka roast koren vai.
280,Hahahaha
281,Tahssen bai wow haha khub moja pailam baia jara beshi beshi khaya video banay tader roast korle khub valo lagto
282,Moja hoito
283,তার ইংলিশের চোদনে রোবট আওলাই গেছে দাদা😆😆
284,Ai maiya atto boro dump... Amr mon chaitase ai mayere pabna vorti korai...chagol marka hosting..Bangladesh a er moddhe akta vlo  সুস্থ manus pailo na.. Hyre desh ta re dubaiya dilo...
285,you are right boss
286,Ami to nijei onk lojja pacchilam jokhon Sophia k erokom disaster questions kora hocchilo....ar Grammer er problem to bad e dilam
287,Love u vai
288,"Bhai USA te, Banglalink er customer care theke phone jay kibhabe??"
289,nice..
290,07:02..😂😂😂
291,Grammer er mayre baap😂
292,বাইয়া আল্লাহ আপনাকে রোস্ট করার যোন্নে পাঠাইচে
293,হালির গরে হালিরা হাগোল
294,Thanks vai onk hashlam
295,Bhaiya daron chilo😂😂😂😂😂😂😂😂😂😂😂
296,এই মেয়েকে সেফুদার কাছে পাঠানো উচিত
297,Unlimited entertainment. ..........
298,😂😂😂😂😂😂
299,Ata Bangladesh  london na
300,"ভাই ডি এম এফ(DMF) নিয়ে একটা প্রোগ্রাম করেন....  MBBS ভাই গুলা ভালই আসে,, আমরা অনেক কষ্ট এ আছি।  প্রাইভেট জব নাই,,,  সরকারি তে অনেক টাকা লাগে,,,  আমরা ৪বছর পরে ক্লিনিক এ জব পাইনা।  প্রাইভেট চেম্বার এ সরকারি ঝামেলা।  বাবা মা ভাই বোন কে দেখতে হবে।  আল্লাহতালা ভালজানে কি যে হবে,,,, 
তাই আপনি এই বিষয়ে একটা প্রোগ্রাম করেন।।।।  DMF দের অন্তত প্রাইভেট ক্লিনিক এ জব হয়।।।"
301,vaiya apnar background music change koren....bore lage khub
302,This is called Bangladeshi nautanki girl... Its a shame fact
303,Sofiar matha loraiya dise bachari ki bolba
304,😂😁😁🤣
305,কোন খেলা থেকে কোন খেলা the bestest
306,পচাইয়া ফেলছে ভাই
307,Bangladesher nitinirdharok jara asen ei bisoy gulo vebechinte porichalona kora dorkar karon er sathe international bisoy jorito
308,Ami haste haste haste shes hoyea jacche🤣🤣🤣🤣🤣
309,Hey dude can you give the background musics link in your video description.plz dude.
310,Agun lagan nai💥💥💣
311,He could not speak English well and again asked another person.......
312,"মো:সাইফুল ইসলাম..ভাই i love you...আপনার ভিডিও গোলা অনেক ভালো লাগে,,"
313,I like to your vedio...
314,সিস্টেম হেং করায়া দিছে ভাইরে হাসতে হাসতে শেষ😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
315,Oi dislike kore kara re!!!!😡😡
316,"ভাই আমি তো রীতিমত আপনার ভক্ত হয়ে যাচ্ছি! 😁
দারুন রোস্ট করেন,😃রান্না খুব ভালো আপনার 👌"
317,"জাতি হিসেবে আমি লজ্জিত। এদের সিলেক্ট করে কিডা??
but vai roasting ta joss cilo👍👍"
318,God job vai
319,Cool  boss
320,ভাই আমি জদি পারতাম তাহলে 100000 বার subscribe kortam
321,Continuously Sub koren ar unsub koren.. 100000 bar hoye gele janayen.. Congo janabani 😂😂😂
322,100 ta account khulen apnar wish purone h9be
323,I can't stop laughing specially your expression
324,onek din por kan helal k deklam
325,😑😑😑😑😑😑
326,Onek hasace ai video ta dakha r apnar bolar vhongima ta onek cute hoyca viya 😋😋😋😋😋😋
327,Its awesome .......Ha Ha Ha
328,Horon toron tahseenation ❤❤😍😍
329,"R8...
সেলুট বস"
330,😂😂🤣🤣
331,taka diya degree kinle to aguiai hobe
332,Amio ei interview dekhe birokto hoichhilam.
333,Bangladesher manush shobai eki kaj Kore ...karo kono passion nei job korbo tk pabo that's it .ejonnoi e problem ...je shokol manush uposthapona k ekta passion hisebe ney Tara kokhono e vul kortona ...cause eta tar passion
334,You are great bro ...
335,হারামজাদী একটা বলদ
336,Legend says that...she still hosts 🤣
