comment_id,comment
67,"*নামাজকে বলোনা কাজ আছে। কাজকে বলো নামাজ আছে।।*

*হে আল্লাহ সবাইকে পাঁচ ওয়াক্ত নামাজ পড়ার তৌফিক দান করুণ...... আমিন।।*"
68,https://youtu.be/fYzdrkbcWHU অসাধারণ
69,"করোনা বার্গার খাচ্ছে মানুষ,দেখুন ভিফিও'তে-
https://youtu.be/evm6uxcHg7I"
70,ডলফিনের মাংশ কি খাওয়া যায়?
71,@59 rx বেশী করে পেয়াজ মরিচ দিয়ে ভুনা করে খেলে সমস্যা হবে?
72,Naa
73,এই গুলি কে বা ডলফিনদেরকে রক্ষা করা সরকারের একান্তই দায়িত্ব।।
74,"এ ভাবে চলতে থাকলে, কদিন পর হাঙ্গর আসবে 😄😄😄😄😄"
75,https://youtu.be/c1iLB-dXGr8
76,রেজিস্ট্রেশন সিস্টেম চালু করা হোক। নির্দিষ্ট করা হোক প্রতি মাসের পর্যটক সংখ্যা।
77,"যে গাছ ফল দেয় না😔 সেই গাছের ডালপালা কাটতে আসে যখন তখন যে কেউ ""আমাদের বাংলাদেশের কিছু মানুষের জন্য আমাদের তুচ্ছ-তাচ্ছিল্য করে যে কোন দেশের মানুষ🙄 আজকে অনেকেই  হয়তো বা আমাদের দেশের প্রশংসা করছে এই দৃশ্য দেখে 😊"
78,"প্রকৃতির উপর বেশি অত্যাচার করলে প্রকৃতিও কিন্তু ঠিকই এর প্রতিশোধ নিবে, এবং সেটা খুব নিশঠুর ভাবে।"
79,"বাঙালি জিব বৈচিত্র্য রক্ষা করবো?
হাহাহা। বাঙালি পাইলে ডলফিন দইরা কাইটা বিক্রি শুরু করবো..."
80,@Tanzina Afrin 😂😂😂😂
81,Nah bhai agey selfie tule nibe dolphin re kole niya.. Pore khawakhawi
82,Sorry but im not sorry bangali hoilo bissho madarchod er jaat
83,বুজলাম না মোশারফের ছেলে কোথাও পরিবেশ কর্মী কোথাও সার্ফার !!!
84,Oh tahole ai karone Mone hoi thanos mama shobaire marte chaisilo 🤔🤔
85,A professional reporter called surfers surferers. 👌🏻
86,And I am suffering from reading this comment
87,কক্সবাজার কে একটু লিমিটের মধ্যে রাখা উচিত যাতে সবাই না যেতে পারে।
88,This is call nature take over
89,আমার কক্সবাজার 😍
90,"BANGLA MOTIVATION all in all 
🤣🤣🤣"
91,https://youtu.be/c1iLB-dXGr8
92,বাংলাদেশের আর পশ্চিমবঙ্গের বেশির ভাগ মানুষ-ই অসচেতন.. সুন্দরবন ও নষ্টের পথে
93,Amra bengali ai jonno
94,https://youtu.be/c1iLB-dXGr8
95,@lion khan sovab bodlanor khub e dorkar vai...Bangladesh ar westbengal er kache prakktik sompod kom nei kin2 sobai nosto korar jnno uthepore legeche
96,Vai amra jate bangali kotha mone rakhte hoibo .desh alada hoileo jat ak .ar sovab o ak
97,এটা আমার নতুন চ্যানেল সবাই সাবস্ক্রাইব করুন...
98,"Kore diyesi ,Apne o kore din!"
99,Okay
100,আমার টা করুন আমিও করে দিব
101,maybe 1 ta din beach off dewa ucit
102,"একদিন লক ডাউনে ডলফিন চলে আসছে কক্সবাজারে, ২য় দিন পাখির মেলা বসছে। পৃথিবীর দূষন ৫০% কমে গেছে,এভাবে যদি একমাস লক ডাউন থাকলে তো ডাইনোসর ফেরত চলে আসবে😂😂😂.."
103,Balkama panir tole j balu gula  ase akjon k namay diye bol j ektu doura emni uttar pabi..
104,https://youtu.be/c1iLB-dXGr8
105,মাসে একবার হলেও বন্ধ রাখুন
106,এই পরিবেশ বজায় রাখা আমাদের সবার দায়িত্ব।
107,ডলফিনের কথা ভবল কিন্তু জেলেদের কথা ভাবলনা।ইন্জিন জারা নৌকা চালাইয়া ডলফিন দেখার সুযোগ করা হোক।জেলে আর বাঙ্গালিরা না খাইয়া মরুক।
108,আপনার মত অশিক্ষিত মানুষের জন্য সব ধ্বংস হচ্ছে। প্রকৃতি যত দিন টিকে আছে ততো দিন মানুষ টিকে থাকবে। প্রকৃতি হারিয়ে গেলে মানুষও পৃথিবী থেকে বিলিন হয়ে যাবে।
109,এসব কথা বলে অশিক্ষিত তার পরিচয় দিবেন না। পর্যটন spot এ জেলেদের কাজ কী? ঐটা কি মাছ ধরার জায়গা?
110,Aree chudir vai manush ar kotha vabte vabte to duniya re tomago moto omanush goila ses koira deso .duniya khali aka manush ar liga .mohfiz
111,"মানুষ তুমি কেমন করে বুঝবা,প্রকৃতি কি?
প্রকৃতি তোমাকে কেমন করে বাচাঁয়?
প্রকৃতি তোমাকে কি কি সব দেয়?
তোমার নষ্টের ফলেই তো খরা,জলবায়ু
পরিবর্তন,লবনাক্ততা,বন্যা,ঘূর্নিঝড়। 
প্রাকৃতিক উপকারিতা না বুঝেই, গাছ,
পাহাড়, সমতল,সমুদ্র,জীববৈচিত্র 
সব নষ্ট করছি।
আচ্ছা না বুঝলাম আর কি,কিন্তু নৈতিকতা 
তো বুঝি।এগুলা তো নৈতিকতারও বিপরিত।
প্রকৃতি দেখিয়ে দিয়েছে,এখন সময় আসছে,
ব্যবস্থা নেওয়ার,নীতিমালা তৈরী করার।
অন্তত কিছু কিছু এরিয়া নিয়মের আওতায় 
নিয়ে আসা।"
112,এখন না আবার ডলফিন দেখতে পাব্লিক ভির জমায়🤓
113,😂😂
114,😂😂😂
115,"করোনা কতটা শক্তিশালও দেখুন
https://youtu.be/Qm4WAtdghUw"
116,"করোনা কতটা শক্তিশালি দেখুন
https://youtu.be/Qm4WAtdghUw"
117,সপ্তাহে 1 দিন সৈকত বন্ধ রাখতে হবে
118,https://youtu.be/c1iLB-dXGr8
119,কিউট কিউট ডলফিন গুলা নিজ চুখে দেখলাম আমাদের কক্সে।
120,"Look like Corona is saving world by killing Humankind
Don't get me wrong"
121,"Tai kothao sunechi, “Smoking is good for environment because it kills human.”"
122,"good considerate educated humans can keep the world and actually improve it, its the bad humans who destroy it, bangladesh have too many of these bad humans."
123,"U are absolutely right brother. Well, I totally agree with this line which we can see so often right now on social media and that is ""mother earth is healing herself"""
124,You are super right. Mother nature will not spare any one
125,who told human to destroy ecological balance. Aren't human polluting each & every aspects of nature???
