comment_id,comment
11098,"ইহুদি নাছারা মালাউন বৃদ্ধি স সন্ত্রাসী, মুসলমান নামে ।মুনাপিক রা, বুঝতে ।পারে, নাই ।দোয়া করি আললাহর কাছে, দুনিয়ার ইসলামের দুশমন মানবতার দুশমন দের দংস ।করেন"
11099,"দংস, হয়ে,যায়ও,ইসলামের ।দুশমন, রা"
11100,Aisob QYAMAT er alamot. ALLAH S.A.T sobaika maf koruk ar hedayat dan korun. Ameen
11101,"যে দেশে মানুষের অভাব কিন্তু অফুরন্ত খালি জায়গা রয়ে গেছে, বাদুর তো আসবেই। লোক সংখ্যা বেশি হলে বাদুর শহরে আসতে পারতো না। 
বাদুর এর প্রতি মায়া দেখিয়ে লাভ নেই। করোনা ভাইরাস চীনে যা ছড়িয়েছে সেটা বাদুরেও পাওয়া গেছে। 
বাদুর দিনে উড়ে না বলেই জানি। জাল ছুড়ে বন্দী করা যেতে পারে দিনের বেলা।"
11102,"All,Allahur gojob,"
11103,Very nice
11104,অস্ট্রেলিয়ার উপর আল্লাহর গজব শুরু হয়েছে
11105,"মহান আল্লাহ বলেন "" কাফেরদের জন‍্য দুর্ভাগ্য হবে সেই দিনের যেদিন তাকে সর্তক করা হয়েছিল । "" ( সূরা - আয যারিয়াত : 10 )  
নিশ্চয়ই একদিন সবার পরীক্ষার সময় শেষ হবেই । 😔"
11106,"করোনাভাইরাসের লক্ষণ ও চিকিৎসা কী, কতটা মারাত্মক, কোথা থেকে এলো, কোন প্রানী থেকে ছড়ালো, চীনে কেন, বিস্তারিত জানতে ভিডিওটি দেখুন: https://youtu.be/0MtiN2u4aM8"
11107,Chin desh er sathe kontak korley hoy sob ranna kore khaiya nibo
11108,badur o ak hoye dol banay bt amader desher manus jibone ak hote parlo na
11109,Allah..paker...gojob..najil..hoyseh..toder..upor..torah..muslim..der..valo..chokey..dekis..na...tar..jonno
11110,Chaina..parben..somadan..korteh...salar..nastiker..bachcha..ra..muslimder..sotru..torah...
11111,"কমেন্ট সেক্সনে সবাই শুধু অস্ট্রেলিয়ার উপর গজব পড়েছে এই কথাই বলছে। কিন্তু আমরা এটা কেন ভুলে যাচ্ছি যে ওরাও তো মানুষ। ঠিক আছে ওরা ভুল করেছে উট মেরে কিন্তু একই পৃথিবির মানুষ হয়ে ওদের প্রতি এত ঘৃনা দেখানো এটাই কি ইসলামের ধর্ম? 








এখন কতো গুলো মানুষ যারা এটা পড়বে তারা আমাকে ইসলাম সম্পর্কে  গেন দিবে কিন্তু অনুগ্রহপূর্বক বলছি কারো গেন শোনার ইচ্ছা নেই তো কমেন্ট ভাল না লাগলে উলটা পাল্টা পেচাল পাইরেন না"
11112,আল্লাহর কুদরতের কাছে মানুষ কতই নগণ্য
11113,"Fake news. Stop spreading this misleading ACA rubbish.
These megabats are native animals. Pollinators."
11114,ধরে ধরে ধরে না ধরলে আল্লাহ ছাড়ে না।
11115,Namaj pore allahor kashe prarthona korte hoibe
11116,OMA
11117,O no
11118,ইসলাম ধর্ম শান্তির ধর্ম
11119,আল্লাহ ছাড়া এই গজব থেকে তোদের কেও রক্ষা করতে পারবেন না।
11120,Beshi Badur Khauar Karone Chiner Lokder Bodhojom Hoyeche.
11121,"❎❎❎❎❎*আমার এই ছবির উপর ক্লিক করলে আরেক টি ইউটিউব চেনেল দেখতে পাবেন ১,, নাম ঃ Bangla best tv  আর ২ নাম ঃ India Vairal vigo video সবাই এই দুইটি চ্যানেল থেকে ঘুরে আসেন প্লিজ*❎❎❎❎❎❎❎❎"
11122,হয় তো এটা কোন গজব
11123,China 🇨🇳 is trying to send virus 🦠 over to Australia 🇦🇺.
11124,আল্লাহ্‌ মাফ করে দিক
11125,https://youtu.be/G52IVjY9q6w
11126,চীনের খবর কি?
